case_id,start,end,cycle_time_days
173688,2011-10-01 00:38:44.546000+00:00,2011-10-13 10:37:37.026000+00:00,12.415885185185186
173691,2011-10-01 08:08:58.256000+00:00,2011-10-10 14:17:34.633000+00:00,9.255976585648147
173694,2011-10-01 08:10:30.287000+00:00,2011-11-04 16:05:01.532000+00:00,34.32952829861111
173697,2011-10-01 08:11:08.866000+00:00,2011-10-01 08:11:46.420000+00:00,0.0004346527777777778
173700,2011-10-01 08:15:39.894000+00:00,2011-10-01 08:16:21.037000+00:00,0.00047619212962962963
173703,2011-10-01 09:45:25.806000+00:00,2011-10-01 13:02:12.557000+00:00,0.13665221064814814
173706,2011-10-01 09:45:37.274000+00:00,2011-10-01 15:00:02.537000+00:00,0.21834795138888888
173709,2011-10-01 09:57:42.994000+00:00,2011-11-01 09:15:08.387000+00:00,30.970432789351854
173712,2011-10-01 09:58:30.533000+00:00,2011-10-03 14:42:55.584000+00:00,2.197512164351852
173715,2011-10-01 09:59:10.501000+00:00,2011-10-13 11:05:28.082000+00:00,12.046036817129629
173718,2011-10-01 10:37:39.363000+00:00,2011-10-27 09:18:01.790000+00:00,25.944704016203705
173721,2011-10-01 11:07:34.279000+00:00,2011-10-10 16:28:29.918000+00:00,9.22286619212963
173724,2011-10-01 11:52:14.305000+00:00,2011-10-03 15:48:20.505000+00:00,2.1639606481481484
173727,2011-10-01 12:08:46.663000+00:00,2011-10-01 12:09:30.362000+00:00,0.000505775462962963
173730,2011-10-01 12:36:08.943000+00:00,2011-10-21 09:08:21.511000+00:00,19.85570101851852
173733,2011-10-01 12:39:34.037000+00:00,2011-10-01 14:54:56.346000+00:00,0.09400820601851852
173736,2011-10-01 13:01:58.813000+00:00,2011-10-18 12:01:37.810000+00:00,16.958090243055555
173739,2011-10-01 13:12:58.663000+00:00,2011-10-14 16:22:55.654000+00:00,13.131909618055555
173742,2011-10-01 13:44:12.627000+00:00,2011-10-14 15:52:09.143000+00:00,13.088848564814816
173745,2011-10-01 14:08:16.294000+00:00,2011-10-08 12:45:59.872000+00:00,6.942865486111111
173748,2011-10-01 14:09:16.088000+00:00,2011-10-03 16:44:24.049000+00:00,2.1077310300925927
173751,2011-10-01 14:14:39.442000+00:00,2011-10-11 10:39:37.710000+00:00,9.850674398148149
173754,2011-10-01 14:50:09.763000+00:00,2011-10-14 14:28:41.859000+00:00,12.985093703703702
173757,2011-10-01 15:02:58.635000+00:00,2011-10-01 15:03:36.223000+00:00,0.00043504629629629633
173760,2011-10-01 15:15:17.454000+00:00,2011-10-14 15:41:11.193000+00:00,13.01798309027778
173763,2011-10-01 16:09:22.741000+00:00,2011-10-01 16:38:43.770000+00:00,0.020382280092592592
173766,2011-10-01 16:12:02.338000+00:00,2011-10-06 20:52:12.238000+00:00,5.194559027777778
173769,2011-10-01 16:34:46.838000+00:00,2011-10-01 16:35:23.337000+00:00,0.00042244212962962965
